"authors","title","journal","issue","volume","pages","article_no","doi","doctype","year","date","database","ExportDate"
"Furuta, T., Yamamoto, T.","MCPtaggR: R package for accurate genotype calling in reduced representation  sequencing data by eliminating error-prone markers based on genome comparison.","DNA research : an international journal for rapid publication of reports on genes  and genomes","1","31",NA,"10.1093/dnares/dsad027 [doi]","10.1093/dnares/dsad027","Journal Article","2024","Feb 1","PubMed",2024-01-29
"Huang, S., Konishi, N., Yamaji, N., Ma, J.F.","Local distribution of manganese to leaf sheath is mediated by OsNramp5 in rice.","The New phytologist","4","241","1708-1719","10.1111/nph.19454 [doi]","10.1111/nph.19454","Journal Article","2024","Feb","PubMed",2024-01-29
"Shamsi, W., Mittelstrass, J., Ulrich, S., Kondo, H., Rigling, D., Prospero, S.","Possible biological control of ash dieback using the mycoparasite Hymenoscyphus  fraxineus mitovirus 2.","Phytopathology",NA,NA,NA,"10.1094/PHYTO-09-23-0346-KC [doi]","10.1094/PHYTO-09-23-0346-KC","Journal Article","2023","Dec 19","PubMed",2024-01-29
"Ichiyanagi, K., Ikeda, Y., Saito, K.","The sixth Japanese meeting on biological function and evolution through  interactions between hosts and transposable elements.","Mobile DNA","1","14","22","10.1186/s13100-023-00310-9 [doi]","10.1186/s13100-023-00310-9","Journal Article","2023","Dec 12","PubMed",2024-01-29
"Wang, P., Yamaji, N., Mitani-Ueno, N., Ge, J., Ma, J.F.","Knockout of a rice K5.2 gene increases Ca accumulation in the grain.","Journal of integrative plant biology",NA,NA,NA,"10.1111/jipb.13587 [doi]","10.1111/jipb.13587","Journal Article","2023","Nov 29","PubMed",2024-01-29
"Kato, Y., Kuroda, H., Ozawa, S., Saito, K., Dogra, V., Scholz, M., Zhang, G., de Vitry, C., Ishikita, H., Kim, C., Hippler, M., Takahashi, Y., Sakamoto, W.","Characterization of tryptophan oxidation affecting D1 degradation by FtsH in the  photosystem II quality control of chloroplasts.","eLife",NA,"12",NA,"10.7554/eLife.88822 [doi]","10.7554/eLife.88822","Journal Article","2023","Nov 21","PubMed",2024-01-29
"Cornejo, C., Otani, T., Suzuki, N., Beenken, L.","Cryphonectria carpinicola discovered in Japan: first report of the sexual state  on Carpinus tree.","Mycoscience","5","64","123-127","10.47371/mycosci.2023.07.001 [doi]","10.47371/mycosci.2023.07.001","Journal Article","2023","","PubMed",2024-01-29
"Tani, A., Masuda, S., Fujitani, Y., Iga, T., Haruna, Y., Kikuchi, S., Shuaile, W., Lv, H., Katayama, S., Yurimoto, H., Sakai, Y., Kato, J.","Metabolism-linked methylotaxis sensors responsible for plant colonization in  Methylobacterium aquaticum strain 22A.","Frontiers in microbiology",NA,"14","1258452","10.3389/fmicb.2023.1258452 [doi]","10.3389/fmicb.2023.1258452","Journal Article","2023","","PubMed",2024-01-29
"Andika, I.B., Cao, X., Kondo, H., Sun, L.","The intriguing phenomenon of cross-kingdom infections of plant and insect viruses  to fungi: Can other animal viruses also cross-infect fungi?","PLoS pathogens","10","19","e1011726","10.1371/journal.ppat.1011726 [doi]","10.1371/journal.ppat.1011726","Journal Article","2023","Oct","PubMed",2024-01-29
"Mitani-Ueno, N., Yamaji, N., Huang, S., Yoshioka, Y., Miyaji, T., Ma, J.F.","A silicon transporter gene required for healthy growth of rice on land.","Nature communications","1","14","6522","10.1038/s41467-023-42180-y [doi]","10.1038/s41467-023-42180-y","Journal Article","2023","Oct 19","PubMed",2024-01-29
"Ogawa, Y., Iwano, M., Shikanai, T., Sakamoto, W.","FZL, a dynamin-like protein localized to curved grana edges, is required for  efficient photosynthetic electron transfer in Arabidopsis.","Frontiers in plant science",NA,"14","1279699","10.3389/fpls.2023.1279699 [doi]","10.3389/fpls.2023.1279699","Journal Article","2023","","PubMed",2024-01-29
"Brabham, H.J., Gomez De La Cruz, D., Were, V., Shimizu, M., Saitoh, H., Hernandez-Pinzon, I., Green, P., Lorang, J., Fujisaki, K., Sato, K., Molnar, I., Simkova, H., Dolezel, J., Russell, J., Taylor, J., Smoker, M., Gupta, Y.K., Wolpert, T., Talbot, N.J., Terauchi, R., Moscou, M.J.","Barley MLA3 recognizes the host-specificity effector Pwl2 from Magnaporthe  oryzae.","The Plant cell",NA,NA,NA,"koad266 [pii]","10.1093/plcell/koad266","Journal Article","2023","Oct 11","PubMed",2024-01-29
"Zerbini, F.M., Siddell, S.G., Lefkowitz, E.J., Mushegian, A.R., Adriaenssens, E.M., Alfenas-Zerbini, P., Dempsey, D.M., Dutilh, B.E., Garcia, M.L., Hendrickson, R.C., Junglen, S., Krupovic, M., Kuhn, J.H., Lambert, A.J., Lobocka, M., Oksanen, H.M., Robertson, D.L., Rubino, L., Sabanadzovic, S., Simmonds, P., Smith, D.B., Suzuki, N., Van Doorslaer, K., Vandamme, A., Varsani, A.","Correction to: Changes to virus taxonomy and the ICTV Statutes ratifed by the  International Committee on Taxonomy of Viruses (2023).","Archives of virology","11","168","269","10.1007/s00705-023-05880-w [doi]","10.1007/s00705-023-05880-w","Published Erratum","2023","Oct 7","PubMed",2024-01-29
"Sato, Y., Shahi, S., Telengech, P., Hisano, S., Cornejo, C., Rigling, D., Kondo, H., Suzuki, N.","Corrigendum to 'A new tetra-segmented splipalmivirus with divided RdRP domains  from Cryphonectria naterciae, a fungus found on chestnut and cork oak trees in  Europe' [Virus Research 291 (2021) 198221].","Virus research",NA,"337","199228","S0168-1702(23)00190-9 [pii]","10.1016/j.virusres.2023.199228","Published Erratum","2023","Nov","PubMed",2024-01-29
"Sakamoto, W., Takami, T.","Plastid inheritance revisited: emerging role of organelle DNA degradation in  angiosperms.","Plant & cell physiology",NA,NA,NA,"pcad104 [pii]","10.1093/pcp/pcad104","Journal Article","2023","Sep 13","PubMed",2024-01-29
